3056,"3056"
1988,"1988"
2728,"2728"
1946,"1946"
2562,"2562"
1222,"1222"
2932,"2932"
428,"428"
3220,"3220"
1642,"1642"
2708,"2708"
484,"484"
3676,"3676"
390,"390"
2912,"2912"
1560,"1560"
2592,"2592"
1180,"1180"
2410,"2410"
72,"72"
3328,"3328"
630,"630"
2382,"2382"
284,"284"
3844,"3844"
622,"622"
2398,"2398"
1502,"1502"
3594,"3594"
1196,"1196"
2374,"2374"
342,"342"
3956,"3956"
928,"928"
2538,"2538"
1722,"1722"
3874,"3874"
1990,"1990"
3644,"3644"
392,"392"
2860,"2860"
802,"802"
3460,"3460"
1026,"1026"
3054,"3054"
270,"270"
3658,"3658"
64,"64"
2060,"2060"
722,"722"
3668,"3668"
1480,"1480"
3978,"3978"
454,"454"
3364,"3364"
314,"314"
3628,"3628"
990,"990"
2210,"2210"
816,"816"
2378,"2378"
1566,"1566"
3976,"3976"
1586,"1586"
3982,"3982"
952,"952"
3558,"3558"
1396,"1396"
3072,"3072"
1368,"1368"
2566,"2566"
1418,"1418"
3174,"3174"
1200,"1200"
3066,"3066"
1872,"1872"
3910,"3910"
594,"594"
2660,"2660"
1886,"1886"
3718,"3718"
1538,"1538"
2436,"2436"
1684,"1684"
3136,"3136"
146,"146"
3678,"3678"
1592,"1592"
3708,"3708"
1150,"1150"
2648,"2648"
1138,"1138"
3798,"3798"
1540,"1540"
3228,"3228"
1574,"1574"
3222,"3222"
956,"956"
2990,"2990"
1994,"1994"
2170,"2170"
946,"946"
2862,"2862"
574,"574"
2712,"2712"
916,"916"
3344,"3344"
822,"822"
2478,"2478"
766,"766"
3776,"3776"
1778,"1778"
2348,"2348"
1906,"1906"
3464,"3464"
84,"84"
3996,"3996"
340,"340"
3278,"3278"
1872,"1872"
3368,"3368"
850,"850"
2896,"2896"
1778,"1778"
3982,"3982"
298,"298"
2782,"2782"
1288,"1288"
3570,"3570"
1360,"1360"
2906,"2906"
1136,"1136"
2414,"2414"
1346,"1346"
3942,"3942"
1336,"1336"
3598,"3598"
990,"990"
3602,"3602"
1950,"1950"
2508,"2508"
1500,"1500"
3930,"3930"
1528,"1528"
3074,"3074"
1574,"1574"
2512,"2512"
296,"296"
2994,"2994"
688,"688"
2430,"2430"
440,"440"
3766,"3766"
1138,"1138"
2636,"2636"
980,"980"
2156,"2156"
1360,"1360"
3442,"3442"
992,"992"
2302,"2302"
1370,"1370"
3606,"3606"
162,"162"
2326,"2326"
1088,"1088"
3806,"3806"
306,"306"
2152,"2152"
1200,"1200"
2316,"2316"
1014,"1014"
2056,"2056"
774,"774"
3618,"3618"
1132,"1132"
3218,"3218"
1578,"1578"
3148,"3148"
444,"444"
3188,"3188"
922,"922"
3718,"3718"
